player_id,first_name,last_name,nationality,birth_city,primary_position,birth_date,birth_state_province,height_cm,weight_kg,shoots_catches
8466148,Marian,Hossa,SVK,Stará Lubovna,RW,1979-01-12,unknown,185.42,93.893544,L
8465058,Michal,Rozsival,CZE,Vlasim,D,1978-09-03,unknown,185.42,95.25431999999999,R
8476906,Shayne,Gostisbehere,USA,Pembroke Pines,D,1993-04-20,FL,180.34,81.64656,L
8466285,Brian,Campbell,CAN,Strathroy,D,1979-05-23,ON,177.8,87.089664,L
8470607,Brent,Seabrook,CAN,Richmond,D,1985-04-20,BC,190.5,99.79024,R
8474668,Dale,Weise,CAN,Winnipeg,RW,1988-08-05,MB,187.96,93.439952,R
8473512,Claude,Giroux,CAN,Hearst,C,1988-01-12,ON,180.34,83.91452,R
8470645,Corey,Crawford,CAN,Montreal,G,1984-12-31,QC,187.96,97.975872,L
8476994,Vinnie,Hinostroza,USA,Chicago,LW,1994-04-03,IL,175.26,78.471416,R
8475323,Marcus,Kruger,SWE,Stockholm,C,1990-05-27,unknown,182.88,84.368112,L
8473584,Andrew,MacDonald,CAN,Judique,D,1986-09-07,NS,185.42,92.532768,L
8478055,Gustav,Forsling,SWE,Linkoping,D,1996-06-12,unknown,182.88,84.368112,L
8478550,Artemi,Panarin,RUS,Korkino,LW,1991-10-30,unknown,180.34,76.203456,R
8476177,Matt,Read,CAN,Ilderton,RW,1986-06-14,ON,177.8,83.91452,R
8473461,Steve,Mason,CAN,Oakville,G,1988-05-29,ON,193.04,95.25431999999999,R
8475462,Radko,Gudas,CZE,Prague,D,1990-06-05,unknown,182.88,92.532768,R
8476393,Nick,Cousins,CAN,Belleville,C,1993-07-20,ON,180.34,83.91452,L
8479482,Michal,Kempny,CZE,Hodonin,D,1990-09-08,unknown,182.88,87.996848,L
8469547,Jordin,Tootoo,CAN,Churchill,RW,1983-02-02,MB,175.26,88.45044,R
